,case,rmse,privacy,real,uniform,nclasses,uniform_original
0,1tfNone_2_uniform,0.0,1,1,0,2,1
1,1ff_2_uniform,25.45584412271571,1,0,0,2,1
2,1ft_2_uniform,33.94112549695428,1,0,1,2,1
3,1tt_2_uniform,0.0,1,1,1,2,1
4,1tfNone_2_uniform,0.0,1,1,0,2,1
5,1ff_2_uniform,22.627416997969522,1,0,0,2,1
6,1ft_2_uniform,59.39696961966999,1,0,1,2,1
7,1tt_2_uniform,0.0,1,1,1,2,1
8,1tfNone_2_uniform,0.0,1,1,0,2,1
9,1ff_2_uniform,33.94112549695428,1,0,0,2,1
10,1ft_2_uniform,19.79898987322333,1,0,1,2,1
11,1tt_2_uniform,0.0,1,1,1,2,1
12,1tfNone_2_uniform,0.0,1,1,0,2,1
13,1ff_2_uniform,59.39696961966999,1,0,0,2,1
14,1ft_2_uniform,16.97056274847714,1,0,1,2,1
15,1tt_2_uniform,0.0,1,1,1,2,1
16,1tfNone_2_uniform,0.0,1,1,0,2,1
17,1ff_2_uniform,11.313708498984761,1,0,0,2,1
18,1ft_2_uniform,36.76955262170047,1,0,1,2,1
19,1tt_2_uniform,0.0,1,1,1,2,1
20,1tfNone_2_uniform,0.0,1,1,0,2,1
21,1ff_2_uniform,31.11269837220809,1,0,0,2,1
22,1ft_2_uniform,36.76955262170047,1,0,1,2,1
23,1tt_2_uniform,0.0,1,1,1,2,1
24,1tfNone_2_uniform,0.0,1,1,0,2,1
25,1ff_2_uniform,16.97056274847714,1,0,0,2,1
26,1ft_2_uniform,5.656854249492381,1,0,1,2,1
27,1tt_2_uniform,0.0,1,1,1,2,1
28,1tfNone_2_uniform,0.0,1,1,0,2,1
29,1ff_2_uniform,31.11269837220809,1,0,0,2,1
30,1ft_2_uniform,62.22539674441618,1,0,1,2,1
31,1tt_2_uniform,0.0,1,1,1,2,1
32,1tfNone_2_uniform,0.0,1,1,0,2,1
33,1ff_2_uniform,31.11269837220809,1,0,0,2,1
34,1ft_2_uniform,36.76955262170047,1,0,1,2,1
35,1tt_2_uniform,0.0,1,1,1,2,1
36,1tfNone_2_uniform,0.0,1,1,0,2,1
37,1ff_2_uniform,2.8284271247461903,1,0,0,2,1
38,1ft_2_uniform,87.68124086713189,1,0,1,2,1
39,1tt_2_uniform,0.0,1,1,1,2,1
40,1tfNone_2_exponential,0.0,1,1,0,2,0
41,1ff_2_exponential,410.1219330881976,1,0,0,2,0
42,1ft_2_exponential,475.1757569573599,1,0,1,2,0
43,1tt_2_exponential,0.0,1,1,1,2,0
44,1tfNone_2_exponential,0.0,1,1,0,2,0
45,1ff_2_exponential,506.288455329568,1,0,0,2,0
46,1ft_2_exponential,520.430590953299,1,0,1,2,0
47,1tt_2_exponential,0.0,1,1,1,2,0
48,1tfNone_2_exponential,0.0,1,1,0,2,0
49,1ff_2_exponential,469.51890270786754,1,0,0,2,0
50,1ft_2_exponential,506.288455329568,1,0,1,2,0
51,1tt_2_exponential,0.0,1,1,1,2,0
52,1tfNone_2_exponential,0.0,1,1,0,2,0
53,1ff_2_exponential,449.7199128346442,1,0,0,2,0
54,1ft_2_exponential,441.23463146040564,1,0,1,2,0
55,1tt_2_exponential,0.0,1,1,1,2,0
56,1tfNone_2_exponential,0.0,1,1,0,2,0
57,1ff_2_exponential,427.0924958366747,1,0,0,2,0
58,1ft_2_exponential,509.11688245431424,1,0,1,2,0
59,1tt_2_exponential,0.0,1,1,1,2,0
60,1tfNone_2_exponential,0.0,1,1,0,2,0
61,1ff_2_exponential,435.57777721091327,1,0,0,2,0
62,1ft_2_exponential,469.51890270786754,1,0,1,2,0
63,1tt_2_exponential,0.0,1,1,1,2,0
64,1tfNone_2_exponential,0.0,1,1,0,2,0
65,1ff_2_exponential,483.6610383315985,1,0,0,2,0
66,1ft_2_exponential,435.57777721091327,1,0,1,2,0
67,1tt_2_exponential,0.0,1,1,1,2,0
68,1tfNone_2_exponential,0.0,1,1,0,2,0
69,1ff_2_exponential,429.9209229614209,1,0,0,2,0
70,1ft_2_exponential,509.11688245431424,1,0,1,2,0
71,1tt_2_exponential,0.0,1,1,1,2,0
72,1tfNone_2_exponential,0.0,1,1,0,2,0
73,1ff_2_exponential,418.60721446243616,1,0,0,2,0
74,1ft_2_exponential,407.29350596345137,1,0,1,2,0
75,1tt_2_exponential,0.0,1,1,1,2,0
76,1tfNone_2_exponential,0.0,1,1,0,2,0
77,1ff_2_exponential,514.7737367038065,1,0,0,2,0
78,1ft_2_exponential,461.033621333629,1,0,1,2,0
79,1tt_2_exponential,0.0,1,1,1,2,0
80,1tfNone_3_uniform,0.0,1,1,0,3,1
81,1ff_3_uniform,33.94112549695428,1,0,0,3,1
82,1ft_3_uniform,22.627416997969522,1,0,1,3,1
83,1tt_3_uniform,0.0,1,1,1,3,1
84,1tfNone_3_uniform,0.0,1,1,0,3,1
85,1ff_3_uniform,26.870057685088806,1,0,0,3,1
86,1ft_3_uniform,12.96148139681572,1,0,1,3,1
87,1tt_3_uniform,0.0,1,1,1,3,1
88,1tfNone_3_uniform,0.0,1,1,0,3,1
89,1ff_3_uniform,10.677078252031311,1,0,0,3,1
90,1ft_3_uniform,40.47221268969612,1,0,1,3,1
91,1tt_3_uniform,0.0,1,1,1,3,1
92,1tfNone_3_uniform,0.0,1,1,0,3,1
93,1ff_3_uniform,49.17316341257699,1,0,0,3,1
94,1ft_3_uniform,43.977266854592045,1,0,1,3,1
95,1tt_3_uniform,0.0,1,1,1,3,1
96,1tfNone_3_uniform,0.0,1,1,0,3,1
97,1ff_3_uniform,51.61395160225576,1,0,0,3,1
98,1ft_3_uniform,25.96150997149434,1,0,1,3,1
99,1tt_3_uniform,0.0,1,1,1,3,1
100,1tfNone_3_uniform,0.0,1,1,0,3,1
101,1ff_3_uniform,33.94112549695428,1,0,0,3,1
102,1ft_3_uniform,94.51983918733676,1,0,1,3,1
103,1tt_3_uniform,0.0,1,1,1,3,1
104,1tfNone_3_uniform,0.0,1,1,0,3,1
105,1ff_3_uniform,5.656854249492381,1,0,0,3,1
106,1ft_3_uniform,19.595917942265423,1,0,1,3,1
107,1tt_3_uniform,0.0,1,1,1,3,1
108,1tfNone_3_uniform,0.0,1,1,0,3,1
109,1ff_3_uniform,17.663521732655695,1,0,0,3,1
110,1ft_3_uniform,49.73932046178355,1,0,1,3,1
111,1tt_3_uniform,0.0,1,1,1,3,1
112,1tfNone_3_uniform,0.0,1,1,0,3,1
113,1ff_3_uniform,25.495097567963924,1,0,0,3,1
114,1ft_3_uniform,36.578682316343766,1,0,1,3,1
115,1tt_3_uniform,0.0,1,1,1,3,1
116,1tfNone_3_uniform,0.0,1,1,0,3,1
117,1ff_3_uniform,27.27636339397171,1,0,0,3,1
118,1ft_3_uniform,34.292856398964496,1,0,1,3,1
119,1tt_3_uniform,0.0,1,1,1,3,1
120,1tfNone_3_exponential,0.0,1,1,0,3,0
121,1ff_3_exponential,292.5987012958191,1,0,0,3,0
122,1ft_3_exponential,460.7971354077627,1,0,1,3,0
123,1tt_3_exponential,0.0,1,1,1,3,0
124,1tfNone_3_exponential,0.0,1,1,0,3,0
125,1ff_3_exponential,328.2438118228583,1,0,0,3,0
126,1ft_3_exponential,481.9107801242881,1,0,1,3,0
127,1tt_3_exponential,0.0,1,1,1,3,0
128,1tfNone_3_exponential,0.0,1,1,0,3,0
129,1ff_3_exponential,352.2527501666949,1,0,0,3,0
130,1ft_3_exponential,403.21706313101384,1,0,1,3,0
131,1tt_3_exponential,0.0,1,1,1,3,0
132,1tfNone_3_exponential,0.0,1,1,0,3,0
133,1ff_3_exponential,301.63885691336253,1,0,0,3,0
134,1ft_3_exponential,418.0980746188626,1,0,1,3,0
135,1tt_3_exponential,0.0,1,1,1,3,0
136,1tfNone_3_exponential,0.0,1,1,0,3,0
137,1ff_3_exponential,258.9864861339294,1,0,0,3,0
138,1ft_3_exponential,432.78632141046234,1,0,1,3,0
139,1tt_3_exponential,0.0,1,1,1,3,0
140,1tfNone_3_exponential,0.0,1,1,0,3,0
141,1ff_3_exponential,338.98672540381284,1,0,0,3,0
142,1ft_3_exponential,462.4954053825832,1,0,1,3,0
143,1tt_3_exponential,0.0,1,1,1,3,0
144,1tfNone_3_exponential,0.0,1,1,0,3,0
145,1ff_3_exponential,298.7206052484495,1,0,0,3,0
146,1ft_3_exponential,444.85728048442684,1,0,1,3,0
147,1tt_3_exponential,0.0,1,1,1,3,0
148,1tfNone_3_exponential,0.0,1,1,0,3,0
149,1ff_3_exponential,340.9545424246464,1,0,0,3,0
150,1ft_3_exponential,465.2053310098671,1,0,1,3,0
151,1tt_3_exponential,0.0,1,1,1,3,0
152,1tfNone_3_exponential,0.0,1,1,0,3,0
153,1ff_3_exponential,311.0851973334636,1,0,0,3,0
154,1ft_3_exponential,453.0055187301806,1,0,1,3,0
155,1tt_3_exponential,0.0,1,1,1,3,0
156,1tfNone_3_exponential,0.0,1,1,0,3,0
157,1ff_3_exponential,342.061397997494,1,0,0,3,0
158,1ft_3_exponential,391.6452476412806,1,0,1,3,0
159,1tt_3_exponential,0.0,1,1,1,3,0
160,2tfNone_3_uniform,31.838703459781083,2,1,0,3,1
161,2ff_3_uniform,22.914376405395195,2,0,0,3,1
162,2ft_3_uniform,53.34322824876649,2,0,1,3,1
163,2tt_3_uniform,35.00714212842859,2,1,1,3,1
164,2tfNone_3_uniform,11.841636373406397,2,1,0,3,1
165,2ff_3_uniform,21.93626031655379,2,0,0,3,1
166,2ft_3_uniform,36.08323710533743,2,0,1,3,1
167,2tt_3_uniform,11.76860229593982,2,1,1,3,1
168,2tfNone_3_uniform,9.105531395805459,2,1,0,3,1
169,2ff_3_uniform,13.293895670970242,2,0,0,3,1
170,2ft_3_uniform,72.16647421067486,2,0,1,3,1
171,2tt_3_uniform,11.113055385446435,2,1,1,3,1
172,2tfNone_3_uniform,12.227165575063312,2,1,0,3,1
173,2ff_3_uniform,18.989549541833256,2,0,0,3,1
174,2ft_3_uniform,47.44997365647319,2,0,1,3,1
175,2tt_3_uniform,12.267844146385297,2,1,1,3,1
176,2tfNone_3_uniform,12.2518590426111,2,1,0,3,1
177,2ff_3_uniform,35.542837922168374,2,0,0,3,1
178,2ft_3_uniform,19.013153341831543,2,0,1,3,1
179,2tt_3_uniform,16.62828914831589,2,1,1,3,1
180,2tfNone_3_uniform,4.415256277951941,2,1,0,3,1
181,2ff_3_uniform,14.551541234281588,2,0,0,3,1
182,2ft_3_uniform,30.47129797038518,2,0,1,3,1
183,2tt_3_uniform,28.16913204200655,2,1,1,3,1
184,2tfNone_3_uniform,17.43456744516716,2,1,0,3,1
185,2ff_3_uniform,6.624336514040657,2,0,0,3,1
186,2ft_3_uniform,38.903727327853815,2,0,1,3,1
187,2tt_3_uniform,8.154753215150045,2,1,1,3,1
188,2tfNone_3_uniform,9.674530169472195,2,1,0,3,1
189,2ff_3_uniform,4.331459440526997,2,0,0,3,1
190,2ft_3_uniform,17.277152543170995,2,0,1,3,1
191,2tt_3_uniform,12.786711852544421,2,1,1,3,1
192,2tfNone_3_uniform,8.743039745990428,2,1,0,3,1
193,2ff_3_uniform,26.805487931364922,2,0,0,3,1
194,2ft_3_uniform,35.26329536501091,2,0,1,3,1
195,2tt_3_uniform,16.718253497300488,2,1,1,3,1
196,2tfNone_3_uniform,6.628495455228066,2,1,0,3,1
197,2ff_3_uniform,6.987715791057559,2,0,0,3,1
198,2ft_3_uniform,28.64437117480501,2,0,1,3,1
199,2tt_3_uniform,25.495097567963924,2,1,1,3,1
200,2tfNone_3_exponential,3.1424331337350724,2,1,0,3,0
201,2ff_3_exponential,293.8276743169878,2,0,0,3,0
202,2ft_3_exponential,471.61265886318193,2,0,1,3,0
203,2tt_3_exponential,244.1679749680535,2,1,1,3,0
204,2tfNone_3_exponential,12.520032907302603,2,1,0,3,0
205,2ff_3_exponential,275.926025354496,2,0,0,3,0
206,2ft_3_exponential,465.20479361244765,2,0,1,3,0
207,2tt_3_exponential,214.3280196334581,2,1,1,3,0
208,2tfNone_3_exponential,2.648604538246737,2,1,0,3,0
209,2ff_3_exponential,316.7094300871511,2,0,0,3,0
210,2ft_3_exponential,438.6484925313206,2,0,1,3,0
211,2tt_3_exponential,240.74987019726512,2,1,1,3,0
212,2tfNone_3_exponential,16.118989298340953,2,1,0,3,0
213,2ff_3_exponential,310.4380672086632,2,0,0,3,0
214,2ft_3_exponential,429.77726789582533,2,0,1,3,0
215,2tt_3_exponential,228.60118109931102,2,1,1,3,0
216,2tfNone_3_exponential,11.278102322643004,2,1,0,3,0
217,2ff_3_exponential,278.6770476289776,2,0,0,3,0
218,2ft_3_exponential,485.8441108009852,2,0,1,3,0
219,2tt_3_exponential,255.62081292414356,2,1,1,3,0
220,2tfNone_3_exponential,8.523347347139858,2,1,0,3,0
221,2ff_3_exponential,311.01838185744276,2,0,0,3,0
222,2ft_3_exponential,502.5350734028422,2,0,1,3,0
223,2tt_3_exponential,213.725290969506,2,1,1,3,0
224,2tfNone_3_exponential,7.790234014454812,2,1,0,3,0
225,2ff_3_exponential,317.32613367883033,2,0,0,3,0
226,2ft_3_exponential,438.43300514445764,2,0,1,3,0
227,2tt_3_exponential,229.70851094376107,2,1,1,3,0
228,2tfNone_3_exponential,10.131091155451482,2,1,0,3,0
229,2ff_3_exponential,350.99426453630747,2,0,0,3,0
230,2ft_3_exponential,433.0941006294129,2,0,1,3,0
231,2tt_3_exponential,236.41806191575128,2,1,1,3,0
232,2tfNone_3_exponential,12.598507848154776,2,1,0,3,0
233,2ff_3_exponential,311.4313837537787,2,0,0,3,0
234,2ft_3_exponential,486.07561140217683,2,0,1,3,0
235,2tt_3_exponential,235.3550509336904,2,1,1,3,0
236,2tfNone_3_exponential,10.87035261617565,2,1,0,3,0
237,2ff_3_exponential,348.61446217642396,2,0,0,3,0
238,2ft_3_exponential,473.4886482271777,2,0,1,3,0
239,2tt_3_exponential,235.44744636542566,2,1,1,3,0
240,1tfNone_4_uniform,0.0,1,1,0,4,1
241,1ff_4_uniform,31.96873472629156,1,0,0,4,1
242,1ft_4_uniform,53.665631459994955,1,0,1,4,1
243,1tt_4_uniform,0.0,1,1,1,4,1
244,1tfNone_4_uniform,0.0,1,1,0,4,1
245,1ff_4_uniform,35.185224171518364,1,0,0,4,1
246,1ft_4_uniform,4.898979485566356,1,0,1,4,1
247,1tt_4_uniform,0.0,1,1,1,4,1
248,1tfNone_4_uniform,0.0,1,1,0,4,1
249,1ff_4_uniform,21.77154105707724,1,0,0,4,1
250,1ft_4_uniform,22.978250586152114,1,0,1,4,1
251,1tt_4_uniform,0.0,1,1,1,4,1
252,1tfNone_4_uniform,0.0,1,1,0,4,1
253,1ff_4_uniform,25.69046515733026,1,0,0,4,1
254,1ft_4_uniform,23.194827009486403,1,0,1,4,1
255,1tt_4_uniform,0.0,1,1,1,4,1
256,1tfNone_4_uniform,0.0,1,1,0,4,1
257,1ff_4_uniform,23.958297101421877,1,0,0,4,1
258,1ft_4_uniform,76.06576102294646,1,0,1,4,1
259,1tt_4_uniform,0.0,1,1,1,4,1
260,1tfNone_4_uniform,0.0,1,1,0,4,1
261,1ff_4_uniform,30.528675044947494,1,0,0,4,1
262,1ft_4_uniform,58.56620185738529,1,0,1,4,1
263,1tt_4_uniform,0.0,1,1,1,4,1
264,1tfNone_4_uniform,0.0,1,1,0,4,1
265,1ff_4_uniform,25.729360660537214,1,0,0,4,1
266,1ft_4_uniform,9.486832980505138,1,0,1,4,1
267,1tt_4_uniform,0.0,1,1,1,4,1
268,1tfNone_4_uniform,0.0,1,1,0,4,1
269,1ff_4_uniform,25.80697580112788,1,0,0,4,1
270,1ft_4_uniform,38.65229618017538,1,0,1,4,1
271,1tt_4_uniform,0.0,1,1,1,4,1
272,1tfNone_4_uniform,0.0,1,1,0,4,1
273,1ff_4_uniform,23.664319132398465,1,0,0,4,1
274,1ft_4_uniform,42.35563716909474,1,0,1,4,1
275,1tt_4_uniform,0.0,1,1,1,4,1
276,1tfNone_4_uniform,0.0,1,1,0,4,1
277,1ff_4_uniform,21.400934559032695,1,0,0,4,1
278,1ft_4_uniform,22.80350850198276,1,0,1,4,1
279,1tt_4_uniform,0.0,1,1,1,4,1
280,1tfNone_4_exponential,0.0,1,1,0,4,0
281,1ff_4_exponential,242.66025632558785,1,0,0,4,0
282,1ft_4_exponential,507.52536882406184,1,0,1,4,0
283,1tt_4_exponential,0.0,1,1,1,4,0
284,1tfNone_4_exponential,0.0,1,1,0,4,0
285,1ff_4_exponential,206.082507748717,1,0,0,4,0
286,1ft_4_exponential,418.01196155134124,1,0,1,4,0
287,1tt_4_exponential,0.0,1,1,1,4,0
288,1tfNone_4_exponential,0.0,1,1,0,4,0
289,1ff_4_exponential,244.8999795835026,1,0,0,4,0
290,1ft_4_exponential,481.18811290388294,1,0,1,4,0
291,1tt_4_exponential,0.0,1,1,1,4,0
292,1tfNone_4_exponential,0.0,1,1,0,4,0
293,1ff_4_exponential,251.90474390134062,1,0,0,4,0
294,1ft_4_exponential,458.3164845387955,1,0,1,4,0
295,1tt_4_exponential,0.0,1,1,1,4,0
296,1tfNone_4_exponential,0.0,1,1,0,4,0
297,1ff_4_exponential,226.49944812294797,1,0,0,4,0
298,1ft_4_exponential,452.5151931151041,1,0,1,4,0
299,1tt_4_exponential,0.0,1,1,1,4,0
300,1tfNone_4_exponential,0.0,1,1,0,4,0
301,1ff_4_exponential,224.69979973288807,1,0,0,4,0
302,1ft_4_exponential,510.5506830864101,1,0,1,4,0
303,1tt_4_exponential,0.0,1,1,1,4,0
304,1tfNone_4_exponential,0.0,1,1,0,4,0
305,1ff_4_exponential,262.8725927136566,1,0,0,4,0
306,1ft_4_exponential,484.1322133467262,1,0,1,4,0
307,1tt_4_exponential,0.0,1,1,1,4,0
308,1tfNone_4_exponential,0.0,1,1,0,4,0
309,1ff_4_exponential,250.83062014036483,1,0,0,4,0
310,1ft_4_exponential,485.087620951102,1,0,1,4,0
311,1tt_4_exponential,0.0,1,1,1,4,0
312,1tfNone_4_exponential,0.0,1,1,0,4,0
313,1ff_4_exponential,272.75996773720294,1,0,0,4,0
314,1ft_4_exponential,513.078941294612,1,0,1,4,0
315,1tt_4_exponential,0.0,1,1,1,4,0
316,1tfNone_4_exponential,0.0,1,1,0,4,0
317,1ff_4_exponential,269.5922847560738,1,0,0,4,0
318,1ft_4_exponential,465.53410186580317,1,0,1,4,0
319,1tt_4_exponential,0.0,1,1,1,4,0
320,2tfNone_4_uniform,23.68024982976145,2,1,0,4,1
321,2ff_4_uniform,11.223709729668412,2,0,0,4,1
322,2ft_4_uniform,37.63641853311763,2,0,1,4,1
323,2tt_4_uniform,15.394804318340652,2,1,1,4,1
324,2tfNone_4_uniform,17.59719790193983,2,1,0,4,1
325,2ff_4_uniform,6.510592675709608,2,0,0,4,1
326,2ft_4_uniform,38.451267859460756,2,0,1,4,1
327,2tt_4_uniform,15.411035007422441,2,1,1,4,1
328,2tfNone_4_uniform,9.972012735652031,2,1,0,4,1
329,2ff_4_uniform,13.20536123118189,2,0,0,4,1
330,2ft_4_uniform,27.883686987197372,2,0,1,4,1
331,2tt_4_uniform,28.609439001839934,2,1,1,4,1
332,2tfNone_4_uniform,27.643911951820716,2,1,0,4,1
333,2ff_4_uniform,17.786428592878472,2,0,0,4,1
334,2ft_4_uniform,38.535697735995385,2,0,1,4,1
335,2tt_4_uniform,13.874436925511608,2,1,1,4,1
336,2tfNone_4_uniform,8.388522277493228,2,1,0,4,1
337,2ff_4_uniform,10.258060796668323,2,0,0,4,1
338,2ft_4_uniform,42.935998882057,2,0,1,4,1
339,2tt_4_uniform,27.046256672597043,2,1,1,4,1
340,2tfNone_4_uniform,16.34707869926375,2,1,0,4,1
341,2ff_4_uniform,9.612611798754912,2,0,0,4,1
342,2ft_4_uniform,30.99193443462347,2,0,1,4,1
343,2tt_4_uniform,31.20096152364539,2,1,1,4,1
344,2tfNone_4_uniform,7.216432636697379,2,1,0,4,1
345,2ff_4_uniform,13.707020975508495,2,0,0,4,1
346,2ft_4_uniform,33.741665637605976,2,0,1,4,1
347,2tt_4_uniform,36.10401639707139,2,1,1,4,1
348,2tfNone_4_uniform,23.809427418565953,2,1,0,4,1
349,2ff_4_uniform,11.719015679172042,2,0,0,4,1
350,2ft_4_uniform,28.91366458960192,2,0,1,4,1
351,2tt_4_uniform,16.20185174601965,2,1,1,4,1
352,2tfNone_4_uniform,18.133813498544942,2,1,0,4,1
353,2ff_4_uniform,11.555638475510019,2,0,0,4,1
354,2ft_4_uniform,41.036569057366385,2,0,1,4,1
355,2tt_4_uniform,32.5192250830182,2,1,1,4,1
356,2tfNone_4_uniform,19.396755656553722,2,1,0,4,1
357,2ff_4_uniform,4.1033487078572115,2,0,0,4,1
358,2ft_4_uniform,41.75523919222593,2,0,1,4,1
359,2tt_4_uniform,18.721645226849056,2,1,1,4,1
360,2tfNone_4_exponential,3.284305406017586,2,1,0,4,0
361,2ff_4_exponential,250.50351514685116,2,0,0,4,0
362,2ft_4_exponential,463.1095982594185,2,0,1,4,0
363,2tt_4_exponential,232.85295789403236,2,1,1,4,0
364,2tfNone_4_exponential,11.123410897741701,2,1,0,4,0
365,2ff_4_exponential,211.59039309776242,2,0,0,4,0
366,2ft_4_exponential,424.5856803991392,2,0,1,4,0
367,2tt_4_exponential,245.6532108481385,2,1,1,4,0
368,2tfNone_4_exponential,27.23558257133624,2,1,0,4,0
369,2ff_4_exponential,201.19374130814134,2,0,0,4,0
370,2ft_4_exponential,492.8767594439811,2,0,1,4,0
371,2tt_4_exponential,230.16189954030185,2,1,1,4,0
372,2tfNone_4_exponential,16.955239603145706,2,1,0,4,0
373,2ff_4_exponential,213.7384025192146,2,0,0,4,0
374,2ft_4_exponential,477.09590230895924,2,0,1,4,0
375,2tt_4_exponential,250.79772726242956,2,1,1,4,0
376,2tfNone_4_exponential,13.006495069771487,2,1,0,4,0
377,2ff_4_exponential,242.7253326381152,2,0,0,4,0
378,2ft_4_exponential,473.62062877370533,2,0,1,4,0
379,2tt_4_exponential,245.25598871383346,2,1,1,4,0
380,2tfNone_4_exponential,13.410728019009415,2,1,0,4,0
381,2ff_4_exponential,222.67785900221554,2,0,0,4,0
382,2ft_4_exponential,472.22346405065474,2,0,1,4,0
383,2tt_4_exponential,206.7583130130443,2,1,1,4,0
384,2tfNone_4_exponential,11.439566687597253,2,1,0,4,0
385,2ff_4_exponential,222.61531945170427,2,0,0,4,0
386,2ft_4_exponential,468.46984961681363,2,0,1,4,0
387,2tt_4_exponential,255.1950234624492,2,1,1,4,0
388,2tfNone_4_exponential,18.886863847659704,2,1,0,4,0
389,2ff_4_exponential,230.1029021299389,2,0,0,4,0
390,2ft_4_exponential,476.9549244949674,2,0,1,4,0
391,2tt_4_exponential,245.39865525303924,2,1,1,4,0
392,2tfNone_4_exponential,5.58382449580917,2,1,0,4,0
393,2ff_4_exponential,241.83299390469267,2,0,0,4,0
394,2ft_4_exponential,470.2063376859142,2,0,1,4,0
395,2tt_4_exponential,238.8325773423718,2,1,1,4,0
396,2tfNone_4_exponential,10.78703916744784,2,1,0,4,0
397,2ff_4_exponential,268.9016272647877,2,0,0,4,0
398,2ft_4_exponential,481.80960970076137,2,0,1,4,0
399,2tt_4_exponential,220.57085029531893,2,1,1,4,0
400,3tfNone_4_uniform,10.02492382286283,3,1,0,4,1
401,3ff_4_uniform,8.117723957585492,3,0,0,4,1
402,3ft_4_uniform,22.070593809662622,3,0,1,4,1
403,3tt_4_uniform,11.508451001088346,3,1,1,4,1
404,3tfNone_4_uniform,15.712748829620269,3,1,0,4,1
405,3ff_4_uniform,11.145834243978044,3,0,0,4,1
406,3ft_4_uniform,36.9984984680312,3,0,1,4,1
407,3tt_4_uniform,21.171259344267185,3,1,1,4,1
408,3tfNone_4_uniform,16.186627647635056,3,1,0,4,1
409,3ff_4_uniform,8.71848323458224,3,0,0,4,1
410,3ft_4_uniform,25.78543947441847,3,0,1,4,1
411,3tt_4_uniform,8.219218670625466,3,1,1,4,1
412,3tfNone_4_uniform,6.15023998459346,3,1,0,4,1
413,3ff_4_uniform,8.33010358039491,3,0,0,4,1
414,3ft_4_uniform,18.950227204735995,3,0,1,4,1
415,3tt_4_uniform,23.976840677805953,3,1,1,4,1
416,3tfNone_4_uniform,9.880652724187238,3,1,0,4,1
417,3ff_4_uniform,15.600862384556153,3,0,0,4,1
418,3ft_4_uniform,18.57118436957896,3,0,1,4,1
419,3tt_4_uniform,23.33809475228594,3,1,1,4,1
420,3tfNone_4_uniform,18.912572430745,3,1,0,4,1
421,3ff_4_uniform,11.270416292696458,3,0,0,4,1
422,3ft_4_uniform,11.77568115510388,3,0,1,4,1
423,3tt_4_uniform,6.2716292407421825,3,1,1,4,1
424,3tfNone_4_uniform,13.393283582284656,3,1,0,4,1
425,3ff_4_uniform,12.938193353557834,3,0,0,4,1
426,3ft_4_uniform,31.49603149604747,3,0,1,4,1
427,3tt_4_uniform,13.572848714334794,3,1,1,4,1
428,3tfNone_4_uniform,14.532288422713055,3,1,0,4,1
429,3ff_4_uniform,2.902404110517468,3,0,0,4,1
430,3ft_4_uniform,25.64717874889531,3,0,1,4,1
431,3tt_4_uniform,14.375905768565232,3,1,1,4,1
432,3tfNone_4_uniform,7.405561115296511,3,1,0,4,1
433,3ff_4_uniform,11.652475517719132,3,0,0,4,1
434,3ft_4_uniform,44.70147897130734,3,0,1,4,1
435,3tt_4_uniform,27.21519183593374,3,1,1,4,1
436,3tfNone_4_uniform,7.319874620901203,3,1,0,4,1
437,3ff_4_uniform,11.710479877501113,3,0,0,4,1
438,3ft_4_uniform,28.90597785157194,3,0,1,4,1
439,3tt_4_uniform,15.165750888103114,3,1,1,4,1
440,3tfNone_4_exponential,42.046407844046314,3,1,0,4,0
441,3ff_4_exponential,242.58987102138454,3,0,0,4,0
442,3ft_4_exponential,480.21846880120927,3,0,1,4,0
443,3tt_4_exponential,324.81618733609304,3,1,1,4,0
444,3tfNone_4_exponential,42.160576114278314,3,1,0,4,0
445,3ff_4_exponential,256.9991860199049,3,0,0,4,0
446,3ft_4_exponential,470.38896434522957,3,0,1,4,0
447,3tt_4_exponential,319.8732387820046,3,1,1,4,0
448,3tfNone_4_exponential,38.62169404230803,3,1,0,4,0
449,3ff_4_exponential,245.77309478825248,3,0,0,4,0
450,3ft_4_exponential,461.8571207635539,3,0,1,4,0
451,3tt_4_exponential,316.8778243354304,3,1,1,4,0
452,3tfNone_4_exponential,39.35361110271801,3,1,0,4,0
453,3ff_4_exponential,233.2497108357428,3,0,0,4,0
454,3ft_4_exponential,454.47698878307745,3,0,1,4,0
455,3tt_4_exponential,298.8756709179705,3,1,1,4,0
456,3tfNone_4_exponential,41.1775793853966,3,1,0,4,0
457,3ff_4_exponential,257.89074351557065,3,0,0,4,0
458,3ft_4_exponential,483.4726236073534,3,0,1,4,0
459,3tt_4_exponential,303.5142317732219,3,1,1,4,0
460,3tfNone_4_exponential,36.35273220670026,3,1,0,4,0
461,3ff_4_exponential,304.2982972257955,3,0,0,4,0
462,3ft_4_exponential,498.68449166002995,3,0,1,4,0
463,3tt_4_exponential,308.4772637038628,3,1,1,4,0
464,3tfNone_4_exponential,44.18429455546207,3,1,0,4,0
465,3ff_4_exponential,256.4901493866762,3,0,0,4,0
466,3ft_4_exponential,436.8289774677908,3,0,1,4,0
467,3tt_4_exponential,310.16877126278683,3,1,1,4,0
468,3tfNone_4_exponential,38.528834364019495,3,1,0,4,0
469,3ff_4_exponential,266.6072238785484,3,0,0,4,0
470,3ft_4_exponential,447.4361531113812,3,0,1,4,0
471,3tt_4_exponential,309.7572526278537,3,1,1,4,0
472,3tfNone_4_exponential,46.70189173087573,3,1,0,4,0
473,3ff_4_exponential,230.03089468656353,3,0,0,4,0
